X,treenode_id,connector_id,prepost,x,y,z,skid,SSN_source,celltype
330,25290689,25337572,1,39689.535,62556.9,12250,3965324,SSN_Q3Q4,balancer
332,25192242,25337918,1,38353.81,64269.37,13500,3965362,SSN_Q1Q2Q3Q4,balancer
333,25322912,25337514,1,38707.82,62273.63,16200,3965368,SSN_Q1Q2Q3Q4,balancer
334,25285517,25337702,1,36953.465,65749.83,16450,3964983,SSN_Q3Q4,balancer
335,25257142,25337512,1,36822.8,64267.23,17500,3964998,SSN_Q1Q2Q3Q4,balancer
336,25256649,25338017,1,37489.82,62256.83,16300,3964998,SSN_Q1Q2Q3Q4,balancer
344,25255584,25337683,1,35434.93,64710.33,18700,3965176,SSN_Q1Q2Q3Q4,balancer
345,25300923,25337724,1,21258.07,35382.2,23200,3965056,SSN_Q1Q2Q3Q4,balancer
346,25267168,25337729,1,20103.07,31777.2,22900,3965063,SSN_Q1Q2Q3Q4,balancer
347,25268538,25337729,1,20103.07,31777.2,22900,3965174,SSN_Q1Q2Q3Q4,balancer
348,25240520,25337651,1,17066,34193.836,22700,3965277,SSN_Q1Q2Q3Q4,balancer
